Time (secs),pThr_arrestin_avg,pThr_arrestin_std,pTyr_arrestin_avg,pTyr_arrestin_std,pThr_noarrestin_avg,pThr_noarrestin_std,pTyr_noarrestin_avg,pTyr_noarrestin_std
0,0.12417314,0.045728357,0.100464058,0.095090422,0.185472681,0.024796546,0,0.01
2,0.172202319,0.027722838,0.103338816,0.091921792,0.242243092,0.066688627,0,0.01
4,0.212987512,0.065717736,0.101350918,0.08842256,0.252919879,0.058192236,0.004657867,0.008067663
6,0.299254686,0.150979173,0.097408019,0.087897213,0.30698471,0.041488084,0.004479234,0.007758261
8,0.314952391,0.186132682,0.096421208,0.089610861,0.384381787,0.128444567,0.005059792,0.008763817
10,0.382735942,0.025381573,0.115592353,0.066346194,0.494176208,0.159852782,0.004255942,0.007371508
12,0.505922126,0.300531224,0.1408918,0.086600856,0.434578768,0.183018047,0,0.01
15,0.638456787,0.209441039,0.169997043,0.112230604,0.565636981,0.353271443,0.013187614,0.022841617
30,0.959587198,0.069997026,0.297843865,0.043012941,0.718990048,0.254064338,0.130076836,0.110807033
60,1,0.01,0.522095918,0.07177283,0.949132367,0.088105325,0.614876473,0.286316701
3600,1,0.01,1,0.01,1,0.01,0.595723019,0.437981389
